output,answer,complexity
~((~((((a|~b|c|d)&(a|~b|c|d|e))|(((a|~b|c|d)&(a|~b|c|d|e)&f)&g))|(((a|~b|c|d)&(a|~b|c|d|e))|(((a|~b|c|d)&(a|~b|c|d|e)&f)&~g))|h))|(~((((a|~b|c|d)&(a|~b|c|d|e))|(((a|~b|c|d)&(a|~b|c|d|e)&f)&g))|(((a|~b|c|d)&(a|~b|c|d|e))|(((a|~b|c|d)&(a|~b|c|d|e)&f)&~g))|~h))),a|~b|c|d,138
~((~(((a|b|(c&~d))&(a|b|(c&~d)|e)&(f|(1)))|((a|b|(c&~d))&(a|b|(c&~d)|e)&(f|(1))&g)))|(~(((a|b|(c&~d))&(a|b|(c&~d)|e)&(f|(1)))|((a|b|(c&~d))&(a|b|(c&~d)|e)&(f|(1))&g)|h))),a|b|c&~d,84
~((~((((a&b)|c|d)|((e&~e)&(f|(1))))|(g&~g)))&(~(h&~h))),a&b|c|d,27
~((~((a|b|(c&~d)|(e&(0)))|(f&~f)))&(~((g&~g)&(h|(1))))),a|b|c&~d,26
~((~(((a&~b&c&d)|(a&~b&c&d&e)|(f&(0)))|((a&~b&c&d)|(a&~b&c&d&e)|((f&(0))&g))))&(~(((a&~b&c&d)|(a&~b&c&d&e)|(f&(0)))|(((a&~b&c&d)|(a&~b&c&d&e)|((f&(0))&g))&h)))),a&~b&c&d,79
~((~(((a&~b&c&d)|(a&~b&c&d&e))&((a&~b&c&d)|(a&~b&c&d&e)|f)&(g|(1))))&(~(h&(0)))),a&~b&c&d,39
~((~((~a|(b&~c)|~d|(e&(0))|(f&(0)))|(g&~g)))|(~(h|~h))),~a|b&~c|~d,27
~((~((((~a|b|c|~d|e)&(~a|b|c|~d|~e))|((~a|b|c|~d|e)&(~a|b|c|~d|~e)&f)|g)&(((~a|b|c|~d|e)&(~a|b|c|~d|~e))|((~a|b|c|~d|e)&(~a|b|c|~d|~e)&f)|~g)))|(~(((((~a|b|c|~d|e)&(~a|b|c|~d|~e))|((~a|b|c|~d|e)&(~a|b|c|~d|~e)&f)|g)&(((~a|b|c|~d|e)&(~a|b|c|~d|~e))|((~a|b|c|~d|e)&(~a|b|c|~d|~e)&f)|~g))|h))),~a|b|c|~d,165
~((~(((((~a|b|c|~d)|(e&~e))&((~a|b|c|~d)|(e&~e)|f))&(g|~g))|h))|(~(((((~a|b|c|~d)|(e&~e))&((~a|b|c|~d)|(e&~e)|f))&(g|~g))|~h))),~a|b|c|~d,70
~(((~((((~a&~b)|c|d)&(e|~e))&(f|~f)))&(~((((~a&~b)|c|d)&(e|~e))&(f|~f)&g)))&(~(h&(0)))),~a&~b|c|d,45
~((~(((a|~b|(~c&~d))&(a|~b|(~c&~d)|e)&(f|(1)))|((a|~b|(~c&~d))&(a|~b|(~c&~d)|e)&(f|(1))&g)))|(~(h|~h))),a|~b|~c&~d,55
~(((~((a&b&~c&~d&(e|(1)))&(f|~f)&g))&(~((a&b&~c&~d&(e|(1)))&(f|~f)&~g)))&(~(h&(0)))),a&b&~c&~d,41
~((~((~a|(~b&~c)|~d)|(e&~e)|(f&(0))|(g&(0))|h))|(~((~a|(~b&~c)|~d)|(e&~e)|(f&(0))|(g&(0))|~h))),~a|~b&~c|~d,48
~((~((((~a&b&~c)|~d)|(e&~e)|(f&(0)))|(g&~g)))|(~(h|~h))),~a&b&~c|~d,29
~(((~(((a|(b&~c)|(~d&e))|(a|(b&~c)|(~d&~e)))|(f&~f)))|(~(g|~g)))|(~(h|(1)))),a|b&~c|~d,39
~((~((((a|b|(~c&~d&e))|(a|b|(~c&~d&~e)))|((a|b|(~c&~d&e))|((a|b|(~c&~d&~e))&f))|g)&(((a|b|(~c&~d&e))|(a|b|(~c&~d&~e)))|((a|b|(~c&~d&e))|((a|b|(~c&~d&~e))&f))|~g)))&(~(h&~h))),a|b|~c&~d,97
~((~(((((~a&~b&c&d)&((~a&~b&c&d)|e))&(((~a&~b&c&d)&((~a&~b&c&d)|e))|f))|g)&((((~a&~b&c&d)&((~a&~b&c&d)|e))&(((~a&~b&c&d)&((~a&~b&c&d)|e))|f))|~g)))&(~(((((~a&~b&c&d)&((~a&~b&c&d)|e))&(((~a&~b&c&d)&((~a&~b&c&d)|e))|f))|g)&((((~a&~b&c&d)&((~a&~b&c&d)|e))&(((~a&~b&c&d)&((~a&~b&c&d)|e))|f))|~g)&h))),~a&~b&c&d,164
~((~((~a|(b&~c&~d&(e|(1))&(f|(1))))|(g&~g)|h))|(~((~a|(b&~c&~d&(e|(1))&(f|(1))))|(g&~g)|~h))),~a|b&~c&~d,46
~((~((((~a|b|c|(d&e))|(~a|b|c|(d&~e)))&(f|~f)&g)|(((~a|b|c|(d&e))|(~a|b|c|(d&~e)))&(f|~f)&~g)|h))|(~((((~a|b|c|(d&e))|(~a|b|c|(d&~e)))&(f|~f)&g)|(((~a|b|c|(d&e))|(~a|b|c|(d&~e)))&(f|~f)&~g)|~h))),~a|b|c|d,106
~(((((~((a&~b)|c|(d&e)))&(~((a&~b)|c|(d&~e))))&(~(f&(0))))&(~(g&(0))))&(~(h&(0)))),a&~b|c|d,37
~((~(((~a|(~b&c&d))&(~a|(~b&c&d)|e)&(f|(1)))|(g&~g)))&(~(h&~h))),~a|~b&c&d,33
~(((~(((a|b|~c|d)&(a|b|~c|d|e))&(((a|b|~c|d)&(a|b|~c|d|e))|f)))&(~(g&(0))))&(~(h&(0)))),a|b|~c|d,42
~((~((((((~a&b)|c|~d|e)&((~a&b)|c|~d|~e))|f)&((((~a&b)|c|~d|e)&((~a&b)|c|~d|~e))|~f))|(((((~a&b)|c|~d|e)&((~a&b)|c|~d|~e))|f)&((((~a&b)|c|~d|e)&((~a&b)|c|~d|~e))|~f)&g)))|(~((((((~a&b)|c|~d|e)&((~a&b)|c|~d|~e))|f)&((((~a&b)|c|~d|e)&((~a&b)|c|~d|~e))|~f))|(((((~a&b)|c|~d|e)&((~a&b)|c|~d|~e))|f)&((((~a&b)|c|~d|e)&((~a&b)|c|~d|~e))|~f)&g)|h))),~a&b|c|~d,192
~((~((a&~b&c&d)|(e&(0))|(f&(0))|(g&(0))))&(~(h&~h))),a&~b&c&d,23
~((~(a|(~b&c&d)|(e&(0))|((f&(0))&(g|(1)))))|(~(a|(~b&c&d)|(e&(0))|((f&(0))&(g|(1)))|h))),a|~b&c&d,38
~(((~((a|(~b&~c)|(~d&e))|((a|(~b&~c)|(~d&~e))&(f|(1)))))|(~(g|~g)))|(~(h|(1)))),a|~b&~c|~d,40
~((~((a&~b&~c&d)|(e&~e)|(f&(0))|(g&(0))))|(~((a&~b&~c&d)|(e&~e)|(f&(0))|(g&(0))|h))),a&~b&~c&d,40
~((~((((a|(b&~c)|~d)|(e&~e))&((a|(b&~c)|~d)|(e&~e)|f))|(g&~g)))&(~(h&~h))),a|b&~c|~d,40
(~((~(((((a|(b&~c)|~d)&(a|(b&~c)|~d|e))|f)&(((a|(b&~c)|~d)&(a|(b&~c)|~d|e))|~f))|(g&~g)))|(~(h|~h))))|((~(~((~(((((a|(b&~c)|~d)&(a|(b&~c)|~d|e))|f)&(((a|(b&~c)|~d)&(a|(b&~c)|~d|e))|~f))|(g&~g)))|(~(h|~h)))))&(0)),a|b&~c|~d,113
~((~(((((~a&b)|(c&d))&(e|~e))&((((~a&b)|(c&d))&(e|~e))|f))|((((~a&b)|(c&d))&(e|~e))&((((~a&b)|(c&d))&(e|~e))|f)&g)))|(~(h|~h))),~a&b|c&d,67
~((~((((((~a&b&c)|~d)&(e|~e))|f)&((((~a&b&c)|~d)&(e|~e))|~f))|((g&(0))&h)))&(~((((((~a&b&c)|~d)&(e|~e))|f)&((((~a&b&c)|~d)&(e|~e))|~f))|((g&(0))&~h)))),~a&b&c|~d,80
~((~((((((~a|b|(~c&~d)|e)&(~a|b|(~c&~d)|~e))|f)&(((~a|b|(~c&~d)|e)&(~a|b|(~c&~d)|~e))|~f))|g)&(((((~a|b|(~c&~d)|e)&(~a|b|(~c&~d)|~e))|f)&(((~a|b|(~c&~d)|e)&(~a|b|(~c&~d)|~e))|~f))|~g)))&(~((((((~a|b|(~c&~d)|e)&(~a|b|(~c&~d)|~e))|f)&(((~a|b|(~c&~d)|e)&(~a|b|(~c&~d)|~e))|~f))|g)&(((((~a|b|(~c&~d)|e)&(~a|b|(~c&~d)|~e))|f)&(((~a|b|(~c&~d)|e)&(~a|b|(~c&~d)|~e))|~f))|~g)&h))),~a|b|~c&~d,216
~((~(((~a|~b|(c&d))&(~a|~b|(c&d)|e)&(f|(1))&(g|(1)))|h))|(~(((~a|~b|(c&d))&(~a|~b|(c&d)|e)&(f|(1))&(g|(1)))|~h))),~a|~b|c&d,56
~((~(((~a&~b&c&d&e)|((~a&~b&c&d&~e)&f))|(((~a&~b&c&d&e)|((~a&~b&c&d&~e)&~f))&(g|(1)))))&(~(h&~h))),~a&~b&c&d,53
(~((~(((a|(b&~c)|~d)|(a|(b&~c)|(~d&e))|((f&(0))&g))|((a|(b&~c)|~d)|(a|(b&~c)|(~d&e))|((f&(0))&~g))))&(~(h&~h))))|(~((~(((a|(b&~c)|~d)|(a|(b&~c)|(~d&e))|((f&(0))&g))|((a|(b&~c)|~d)|(a|(b&~c)|(~d&e))|((f&(0))&~g))))&(~(h&~h)))),a|b&~c|~d,116
(~((~(((a&b&~c&~d)|(e&(0)))&(f|~f)&(g|(1))))|((~(~(((a&b&~c&~d)|(e&(0)))&(f|~f)&(g|(1)))))&(~(h|~h)))))|((~(~((~(((a&b&~c&~d)|(e&(0)))&(f|~f)&(g|(1))))|((~(~(((a&b&~c&~d)|(e&(0)))&(f|~f)&(g|(1)))))&(~(h|~h))))))&(0)),a&b&~c&~d,101
((~((((~((a&b)|(c&d&(e|(1))&(f|(1)))))&(~(g&~g)))&(~(h&(0))))&(((~((a&b)|(c&d&(e|(1))&(f|(1)))))&(~(g&~g)))&(~(h&(0))))))&(~((((~((a&b)|(c&d&(e|(1))&(f|(1)))))&(~(g&~g)))&(~(h&(0))))&(((~((a&b)|(c&d&(e|(1))&(f|(1)))))&(~(g&~g)))&(~(h&(0)))))))|(0),a&b|c&d,106
~((~((((~a|(~b&c)|~d|e)&(~a|(~b&c)|~d|~e)&(f|(1)))|g)&(((~a|(~b&c)|~d|e)&(~a|(~b&c)|~d|~e)&(f|(1)))|~g)))&(~(h&~h))),~a|~b&c|~d,63
~((~((((a|(b&c&d))&(e|~e))|(f&~f)|g)&(((a|(b&c&d))&(e|~e))|(f&~f)|~g)))&(~(h&(0)))),a|b&c&d,42
~((~(((((~a|b|(~c&d))&(e|~e))|((~a|b|(~c&d))&(e|~e)&f))&(((~a|b|(~c&d))&(e|~e))|((~a|b|(~c&d))&(e|~e)&f)|g))|h))|(~(((((~a|b|(~c&d))&(e|~e))|((~a|b|(~c&d))&(e|~e)&f))&(((~a|b|(~c&d))&(e|~e))|((~a|b|(~c&d))&(e|~e)&f)|g))|~h))),~a|b|~c&d,124
~((~(((((a&b&~c)|~d)|((a&b&~c)|(~d&e)))&(((a&b&~c)|~d)|((a&b&~c)|(~d&e))|f))|((((a&b&~c)|~d)|((a&b&~c)|(~d&e)))&(((a&b&~c)|~d)|((a&b&~c)|(~d&e))|f)&g)))&(~(h&~h))),a&b&~c|~d,89
~((~((((~a|(b&c)|d)|(~a|(b&c)|(d&e)))|((~a|(b&c)|d)|((~a|(b&c)|(d&e))&f))|g)&(((~a|(b&c)|d)|(~a|(b&c)|(d&e)))|((~a|(b&c)|d)|((~a|(b&c)|(d&e))&f))|~g)&h))&(~((((~a|(b&c)|d)|(~a|(b&c)|(d&e)))|((~a|(b&c)|d)|((~a|(b&c)|(d&e))&f))|g)&(((~a|(b&c)|d)|(~a|(b&c)|(d&e)))|((~a|(b&c)|d)|((~a|(b&c)|(d&e))&f))|~g)&~h))),~a|b&c|d,162
~((~(((a|(~b&~c&d)|(e&(0)))&(a|(~b&~c&d)|(e&(0))|f))&(((a|(~b&~c&d)|(e&(0)))&(a|(~b&~c&d)|(e&(0))|f))|g)))|(~(h|~h))),a|~b&~c&d,58
~((~(((a|b|~c|~d|e)&(a|b|~c|~d|~e))&(((a|b|~c|~d|e)&(a|b|~c|~d|~e))|f)&(g|(1))))&(~(h&~h))),a|b|~c|~d,49
~((~((((a&b&~c)|(d&e))|((a&b&~c)|(d&~e))|(f&(0)))|(((a&b&~c)|(d&e))|((a&b&~c)|(d&~e))|((f&(0))&g))))&(~((((a&b&~c)|(d&e))|((a&b&~c)|(d&~e))|(f&(0)))|((((a&b&~c)|(d&e))|((a&b&~c)|(d&~e))|((f&(0))&g))&h)))),a&b&~c|d,103
~((~((~a|(~b&~c)|~d)&(~a|(~b&~c)|~d|e)&f))&(~(((~a|(~b&~c)|~d)&(~a|(~b&~c)|~d|e)&~f)&(g|(1))&(h|(1))))),~a|~b&~c|~d,57
~((~(((a&~b&~c&d)&((a&~b&~c&d)|e)&(f|(1)))|((g&~g)&h)))&(~(((a&~b&~c&d)&((a&~b&~c&d)|e)&(f|(1)))|((g&~g)&~h)))),a&~b&~c&d,58
~((~((~a|(b&~c&d&e))|((~a|(b&~c&d&~e))&(f|(1))&(g|(1)))))|(~((~a|(b&~c&d&e))|((~a|(b&~c&d&~e))&(f|(1))&(g|(1)))|h))),~a|b&~c&d,58
~(((~(((a|(b&~c)|d)|(e&~e)|f)&((a|(b&~c)|d)|(e&~e)|~f)&g))&(~(((a|(b&~c)|d)|(e&~e)|f)&((a|(b&~c)|d)|(e&~e)|~f)&~g)))&(~(h&(0)))),a|b&~c|d,67
~((~(((~a|b|c|d)&(~a|b|c|d|e))|((~a|b|c|d)&(~a|b|c|d|e)&f)|(g&(0))|h))|(~(((~a|b|c|d)&(~a|b|c|d|e))|((~a|b|c|d)&(~a|b|c|d|e)&f)|(g&(0))|~h))),~a|b|c|d,72
~((~((((~a&b)|~c|d|e)&((~a&b)|~c|d|~e)&(f|(1)))&(g|~g)&h))&(~((((~a&b)|~c|d|e)&((~a&b)|~c|d|~e)&(f|(1)))&(g|~g)&~h))),~a&b|~c|d,62
~((~((((a|b|(c&~d))&(e|~e))|(f&~f)|g)&(((a|b|(c&~d))&(e|~e))|(f&~f)|~g)))|(~(h|~h))),a|b|c&~d,45
~((~((((a&b&~c)|d)&((a&b&~c)|d|e))|((f&~f)&(g|(1)))))&(~((((a&b&~c)|d)&((a&b&~c)|d|e))|((f&~f)&(g|(1))&h)))),a&b&~c|d,54
~((~(((a&b)|~c|(d&(e|(1)))|f)&((a&b)|~c|(d&(e|(1)))|~f)&(g|(1))))|(~((((a&b)|~c|(d&(e|(1)))|f)&((a&b)|~c|(d&(e|(1)))|~f)&(g|(1)))|h))),a&b|~c|d,63
~((~((((~a&~b&~c)|~d)|((e&~e)&f))|(((~a&~b&~c)|~d)|((e&~e)&~f))|(g&(0))))&(~((((~a&~b&~c)|~d)|((e&~e)&f))|(((~a&~b&~c)|~d)|((e&~e)&~f))|((g&(0))&h)))),~a&~b&~c|~d,83
~((~((((~a&~b)|~c|d)|(((~a&~b)|~c|(d&e))&(f|(1))))|((((~a&~b)|~c|d)|(((~a&~b)|~c|(d&e))&(f|(1))&g))&h)))&(~((((~a&~b)|~c|d)|(((~a&~b)|~c|(d&e))&(f|(1))))|((((~a&~b)|~c|d)|(((~a&~b)|~c|(d&e))&(f|(1))&g))&~h)))),~a&~b|~c|d,112
~((~((a|b|c|~d|(e&(0))|(f&(0)))|(g&~g)|h))|(~((a|b|c|~d|(e&(0))|(f&(0)))|(g&~g)|~h))),a|b|c|~d,40
~(((~((~a|b|c|~d|(e&(0)))|(f&~f)))&(~(g&~g)))&(~(h&(0)))),~a|b|c|~d,27
~((~(((a&b)|(c&d)|e)&((a&b)|(c&d)|~e)&(f|(1))&(g|(1))))|(~(h|~h))),a&b|c&d,31
~((~(((~a|b|(c&~d)|((e&(0))&f))|(~a|b|(c&~d)|((e&(0))&~f)))|((~a|b|(c&~d)|((e&(0))&f))|((~a|b|(c&~d)|((e&(0))&~f))&g))|h))|(~(((~a|b|(c&~d)|((e&(0))&f))|(~a|b|(c&~d)|((e&(0))&~f)))|((~a|b|(c&~d)|((e&(0))&f))|((~a|b|(c&~d)|((e&(0))&~f))&g))|~h))),~a|b|c&~d,124
~((~((a|(~b&c&d&(e|(1)))|f)&(a|(~b&c&d&(e|(1)))|~f)&(g|(1))))&(~((a|(~b&c&d&(e|(1)))|f)&(a|(~b&c&d&(e|(1)))|~f)&(g|(1))&h))),a|~b&c&d,58
~((~((((a&~b&~c)|(d&(e|(1))))|((a&~b&~c)|(d&(e|(1))&f)))|(((a&~b&~c)|(d&(e|(1))))|(((a&~b&~c)|(d&(e|(1))&f))&g))|h))|(~((((a&~b&~c)|(d&(e|(1))))|((a&~b&~c)|(d&(e|(1))&f)))|(((a&~b&~c)|(d&(e|(1))))|(((a&~b&~c)|(d&(e|(1))&f))&g))|~h))),a&~b&~c|d,116
~((~((((((a&~b&~c)|~d)|((a&~b&~c)|(~d&e))|f)&(((a&~b&~c)|~d)|((a&~b&~c)|(~d&e))|~f))&(((((a&~b&~c)|~d)|((a&~b&~c)|(~d&e))|f)&(((a&~b&~c)|~d)|((a&~b&~c)|(~d&e))|~f))|g))|h))|(~((((((a&~b&~c)|~d)|((a&~b&~c)|(~d&e))|f)&(((a&~b&~c)|~d)|((a&~b&~c)|(~d&e))|~f))&(((((a&~b&~c)|~d)|((a&~b&~c)|(~d&e))|f)&(((a&~b&~c)|~d)|((a&~b&~c)|(~d&e))|~f))|g))|~h))),a&~b&~c|~d,198
~((~(((((~a&~b&~c)|(d&e))|((~a&~b&~c)|(d&~e)))|(f&~f))&((((~a&~b&~c)|(d&e))|((~a&~b&~c)|(d&~e)))|(f&~f)|g)))&(~(h&(0)))),~a&~b&~c|d,66
(~(((~(a&~b&~c))&(~(d&(e|(1)))))&((~((~(a&~b&~c))&(~(d&(e|(1))))))|(~((f&(0))&(g|(1))&(h|(1)))))))|((~(~(((~(a&~b&~c))&(~(d&(e|(1)))))&((~((~(a&~b&~c))&(~(d&(e|(1))))))|(~((f&(0))&(g|(1))&(h|(1))))))))&(0)),a&~b&~c|d,89
~((~(((((a&~b&c&d)&((a&~b&c&d)|e))|f)&(((a&~b&c&d)&((a&~b&c&d)|e))|~f))&(((((a&~b&c&d)&((a&~b&c&d)|e))|f)&(((a&~b&c&d)&((a&~b&c&d)|e))|~f))|g)))&(~(((((a&~b&c&d)&((a&~b&c&d)|e))|f)&(((a&~b&c&d)&((a&~b&c&d)|e))|~f))&(((((a&~b&c&d)&((a&~b&c&d)|e))|f)&(((a&~b&c&d)&((a&~b&c&d)|e))|~f))|g)&h))),a&~b&c&d,154
~((~((((a&~b)|c|(d&e))|((a&~b)|c|(d&~e))|((f&(0))&g))|(((a&~b)|c|(d&e))|((a&~b)|c|(d&~e))|((f&(0))&~g))))|(~((((a&~b)|c|(d&e))|((a&~b)|c|(d&~e))|((f&(0))&g))|(((a&~b)|c|(d&e))|((a&~b)|c|(d&~e))|((f&(0))&~g))|h))),a&~b|c|d,108
~((~((a|(b&~c&d)|((e&(0))&(f|(1))))|(g&~g)|h))|(~((a|(b&~c&d)|((e&(0))&(f|(1))))|(g&~g)|~h))),a|b&~c&d,44
~((~((((~a&b&~c&~d)&((~a&b&~c&~d)|e)&f)|((~a&b&~c&~d)&((~a&b&~c&~d)|e)&~f))|(g&~g)))|(~((((~a&b&~c&~d)&((~a&b&~c&~d)|e)&f)|((~a&b&~c&~d)&((~a&b&~c&~d)|e)&~f))|(g&~g)|h))),~a&b&~c&~d,98
(((~((~(((a&~b&~c)|~d)|((e&~e)&(f|(1)))|(g&(0))))&(~(((a&~b&~c)|~d)|((e&~e)&(f|(1)))|((g&(0))&h)))))&(1))&((~((~(((a&~b&~c)|~d)|((e&~e)&(f|(1)))|(g&(0))))&(~(((a&~b&~c)|~d)|((e&~e)&(f|(1)))|((g&(0))&h)))))&(1)))&(1),a&~b&~c|~d,102
~(((~((((a&~b&c)|d)|(e&~e))|((((a&~b&c)|d)|((e&~e)&f))&g)))&(~((((a&~b&c)|d)|(e&~e))|((((a&~b&c)|d)|((e&~e)&f))&~g))))&(~(h&(0)))),a&~b&c|d,67
~((~(((((~a|b|(c&d))&(~a|b|(c&d)|e))|f)&(((~a|b|(c&d))&(~a|b|(c&d)|e))|~f))&(((((~a|b|(c&d))&(~a|b|(c&d)|e))|f)&(((~a|b|(c&d))&(~a|b|(c&d)|e))|~f))|g)))&(~(h&(0)))),~a|b|c&d,85
~((~((((a&b&c&d)&(e|~e))|((a&b&c&d)&(e|~e)&f))&(g|~g)&h))&(~((((a&b&c&d)&(e|~e))|((a&b&c&d)&(e|~e)&f))&(g|~g)&~h))),a&b&c&d,60
~((~(((~a|(~b&c)|d|e)&(~a|(~b&c)|d|~e)&f)|(((~a|(~b&c)|d|e)&(~a|(~b&c)|d|~e)&~f)&(g|(1)))))|(~(h|~h))),~a|~b&c|d,55
~((~(((((a|(~b&c&d&e))|(a|(~b&c&d&~e))|f)&((a|(~b&c&d&e))|(a|(~b&c&d&~e))|~f))&(g|~g))|h))|(~(((((a|(~b&c&d&e))|(a|(~b&c&d&~e))|f)&((a|(~b&c&d&e))|(a|(~b&c&d&~e))|~f))&(g|~g))|~h))),a|~b&c&d,98
(((((~(((~(((~a&~b&~c&d)&(e|~e))|(f&(0))))&(~(((~a&~b&~c&d)&(e|~e))|((f&(0))&g))))&(~(h&(0)))))&(1))|(0))|(0))|((((~(((~(((~a&~b&~c&d)&(e|~e))|(f&(0))))&(~(((~a&~b&~c&d)&(e|~e))|((f&(0))&g))))&(~(h&(0)))))&(1))|(0))|(0)))|(0),~a&~b&~c&d,104
~((~((((a&~b)|(c&~d))|((e&~e)&f))|(((a&~b)|(c&~d))|((e&~e)&~f))|(g&(0))|h))|(~((((a&~b)|(c&~d))|((e&~e)&f))|(((a&~b)|(c&~d))|((e&~e)&~f))|(g&(0))|~h))),a&~b|c&~d,80
~(((~((~a|~b|(~c&~d))|((~a|~b|(~c&~d&e))&(f|(1)))))|(~(g|~g)))|(~(h|(1)))),~a|~b|~c&~d,38
~(((~((~a|(~b&~c&~d&(e|(1))))|((f&~f)&g)))&(~((~a|(~b&~c&~d&(e|(1))))|((f&~f)&~g))))&(~(h&(0)))),~a|~b&~c&~d,49
~((~(((~a&~b&c&d)&(e|~e))&(((~a&~b&c&d)&(e|~e))|f)))&(~((((~a&~b&c&d)&(e|~e))&(((~a&~b&c&d)&(e|~e))|f)&g)&(h|(1))))),~a&~b&c&d,62
~(((~((((~a&b&~c&d)|e)&((~a&b&~c&d)|~e))|((f&~f)&g)))&(~((((~a&b&~c&d)|e)&((~a&b&~c&d)|~e))|((f&~f)&~g))))&(~(h&(0)))),~a&b&~c&d,63
~((~((a&b&c&~d&(e|(1))&f)|(a&b&c&~d&(e|(1))&~f)))&(~((g&~g)&(h|(1))))),a&b&c&~d,33
~((~(((((a&~b)|(~c&d))&(e|~e))&(f|~f))|((((a&~b)|(~c&d))&(e|~e))&(f|~f)&g)|h))|(~(((((a&~b)|(~c&d))&(e|~e))&(f|~f))|((((a&~b)|(~c&d))&(e|~e))&(f|~f)&g)|~h))),a&~b|~c&d,86
~((~((((~a|b|(~c&~d))|(e&~e)|f)&((~a|b|(~c&~d))|(e&~e)|~f)&g)|(((~a|b|(~c&~d))|(e&~e)|f)&((~a|b|(~c&~d))|(e&~e)|~f)&~g)|h))|(~((((~a|b|(~c&~d))|(e&~e)|f)&((~a|b|(~c&~d))|(e&~e)|~f)&g)|(((~a|b|(~c&~d))|(e&~e)|f)&((~a|b|(~c&~d))|(e&~e)|~f)&~g)|~h))),~a|b|~c&~d,142
~((~((((((a&b)|~c|~d)|((a&b)|~c|(~d&e)))&(f|~f))&(g|~g))|h))|(~((((((a&b)|~c|~d)|((a&b)|~c|(~d&e)))&(f|~f))&(g|~g))|~h))),a&b|~c|~d,66
