output,answer,complexity
~((~((((a&b&~c)|d)&((a&b&~c)|d|e))&(f|~f)))&(~((((a&b&~c)|d)&((a&b&~c)|d|e))&(f|~f)&g))),a&b&~c|d,46
~((~((((~a&b&~c)|d)&((~a&b&~c)|d|e))|(f&(0))))&(~((((~a&b&~c)|d)&((~a&b&~c)|d|e))|((f&(0))&g)))),~a&b&~c|d,49
~((~((((a&b)|(~c&d))|((a&b)|(~c&d&e))|f)&(((a&b)|(~c&d))|((a&b)|(~c&d&e))|~f)))&(~(g&~g))),a&b|~c&d,47
~((~((((a&b&~c)|~d)|((a&b&~c)|(~d&e)))&(f|~f)))&(~((((a&b&~c)|~d)|((a&b&~c)|(~d&e)))&(f|~f)&g))),a&b&~c|~d,52
~((~(((a|b|(~c&d&e))|(a|b|(~c&d&~e)))|((a|b|(~c&d&e))|((a|b|(~c&d&~e))&f))))&(~(g&~g))),a|b|~c&d,46
~((~(((~a&~b&~c&~d)|((~a&~b&~c&~d&e)&f))|((~a&~b&~c&~d)|((~a&~b&~c&~d&e)&~f))))|(~(g|~g))),~a&~b&~c&~d,53
~((~((((a&~b)|(~c&d))|((a&~b)|(~c&d&e)))|((f&~f)&g)))&(~((((a&~b)|(~c&d))|((a&~b)|(~c&d&e)))|((f&~f)&~g)))),a&~b|~c&d,58
~((~(a|(b&c&~d)|((e&(0))&(f|(1)))))&(~(a|(b&c&~d)|((e&(0))&(f|(1))&g)))),a|b&c&~d,32
~((~(((~a|~b|c|(d&e))|((~a|~b|c|(d&~e))&f))|((~a|~b|c|(d&e))|((~a|~b|c|(d&~e))&~f))))&(~(((~a|~b|c|(d&e))|((~a|~b|c|(d&~e))&f))|(((~a|~b|c|(d&e))|((~a|~b|c|(d&~e))&~f))&g)))),~a|~b|c|d,97
~((~(((~a&b)|c|d|(e&(0))|f)&((~a&b)|c|d|(e&(0))|~f)))&(~(g&~g))),~a&b|c|d,31
~((~((((~a&b&c)|d|e)&((~a&b&c)|d|~e))&((((~a&b&c)|d|e)&((~a&b&c)|d|~e))|f)))&(~(g&(0)))),~a&b&c|d,45
~((~(((a|(b&c)|~d|e)&(a|(b&c)|~d|~e))|(f&~f)))|(~(((a|(b&c)|~d|e)&(a|(b&c)|~d|~e))|(f&~f)|g))),a|b&c|~d,50
~((~(((~a|(~b&c)|~d)&(e|~e))|((~a|(~b&c)|~d)&(e|~e)&f)))&(~(g&~g))),~a|~b&c|~d,37
~((~(((a|b|~c|~d|e)&(a|b|~c|~d|~e))|((a|b|~c|~d|e)&(a|b|~c|~d|~e)&f)))&(~(g&~g))),a|b|~c|~d,45
(~((~((((~a&b)|(~c&d))&(e|~e))|(f&~f)))&(~((((~a&b)|(~c&d))&(e|~e))|((f&~f)&g)))))&(1),~a&b|~c&d,45
~((~((((a&b)|(c&d))&((a&b)|(c&d)|e))|(f&~f)))|(~((((a&b)|(c&d))&((a&b)|(c&d)|e))|(f&~f)|g))),a&b|c&d,46
~((~((((~a&~b)|(c&~d&e))|((~a&~b)|(c&~d&~e)))&(((~a&~b)|(c&~d&e))|((~a&~b)|(c&~d&~e))|f)&g))&(~((((~a&~b)|(c&~d&e))|((~a&~b)|(c&~d&~e)))&(((~a&~b)|(c&~d&e))|((~a&~b)|(c&~d&~e))|f)&~g))),~a&~b|c&~d,106
~((~((~a|b|(c&~d)|e)&(~a|b|(c&~d)|~e)&(f|(1))))&(~(g&~g))),~a|b|c&~d,30
~((~((~a|(b&c&~d&(e|(1))))|((~a|(b&c&~d&(e|(1))&f))&g)))&(~((~a|(b&c&~d&(e|(1))))|((~a|(b&c&~d&(e|(1))&f))&~g)))),~a|b&c&~d,56
~(((~(a|(~b&c)|d|(e&(0))|f))|(~(a|(~b&c)|d|(e&(0))|~f)))|(~(g|(1)))),a|~b&c|d,31
~((~((((~a&~b)|c|d)&(e|~e)&f)|(((~a&~b)|c|d)&(e|~e)&~f)|g))|(~((((~a&~b)|c|d)&(e|~e)&f)|(((~a&~b)|c|d)&(e|~e)&~f)|~g))),~a&~b|c|d,66
~((~(((((~a&b)|c|d|e)&((~a&b)|c|d|~e))|f)&((((~a&b)|c|d|e)&((~a&b)|c|d|~e))|~f)))&(~(((((~a&b)|c|d|e)&((~a&b)|c|d|~e))|f)&((((~a&b)|c|d|e)&((~a&b)|c|d|~e))|~f)&g))),~a&b|c|d,88
~((~((((~a&~b&c)|d)&(e|~e))|(f&(0))))|(~(g|~g))),~a&~b&c|d,24
~((~((~a&b)|~c|(~d&(e|(1)))|(f&(0))))|(~(g|~g))),~a&b|~c|~d,23
~((~(((~a&~b&~c)|(~d&(e|(1))&f))|((~a&~b&~c)|(~d&(e|(1))&~f))|g))|(~(((~a&~b&~c)|(~d&(e|(1))&f))|((~a&~b&~c)|(~d&(e|(1))&~f))|~g))),~a&~b&~c|~d,70
~((~(((~a|(~b&c&~d&e))|(~a|(~b&c&~d&~e))|f)&((~a|(~b&c&~d&e))|(~a|(~b&c&~d&~e))|~f)&g))&(~(((~a|(~b&c&~d&e))|(~a|(~b&c&~d&~e))|f)&((~a|(~b&c&~d&e))|(~a|(~b&c&~d&~e))|~f)&~g))),~a|~b&c&~d,102
~((~(((~a|~b|~c|~d|e)&(~a|~b|~c|~d|~e))|(f&~f)|g))|(~(((~a|~b|~c|~d|e)&(~a|~b|~c|~d|~e))|(f&~f)|~g))),~a|~b|~c|~d,60
((~((~(((((~a&~b)|(c&d))|((~a&(~b&b))|(c&d&e)))&(f|~f))&(1)))|((~(g|~g))|(0))))|(0))|((~((~((~(((((~a&~b)|(c&d))|((~a&(~b&b))|(c&d&e)))&(f|~f))&(1)))|((~(g|~g))|(0))))|(0)))&(0)),~a&~b|c&d,85
(~((~((((a&~b)|(c&~d))|(e&~e))|(f&~f)))&(~(g&~g))))&(~((~((((a&~b)|(c&~d))|(e&~e))|(f&~f)))&(~(g&~g)))),a&~b|c&~d,54
~((~(((a|~b|(~c&d&(e|(1))))&(a|~b|(~c&d&(e|(1)))|f))|g))|(~(((a|~b|(~c&d&(e|(1))))&(a|~b|(~c&d&(e|(1)))|f))|~g))),a|~b|~c&d,56
~((~(((~a|(b&~c&~d))|(e&~e))|(f&~f)))&(~(g&~g))),~a|b&~c&~d,26
~((~((a|(~b&c)|(~d&(e|(1))))&(a|(~b&c)|(~d&(e|(1)))|f)))|(~(g|~g))),a|~b&c|~d,33
~((~(((a|(b&~c)|(d&e))|(a|(b&~c)|(d&~e)))|((f&~f)&g)))&(~(((a|(b&~c)|(d&e))|(a|(b&~c)|(d&~e)))|((f&~f)&~g)))),a|b&~c|d,58
~((~(((~a&~b&c&~d)|(e&~e)|f)&((~a&~b&c&~d)|(e&~e)|~f)))&(~(g&~g))),~a&~b&c&~d,37
~((~((a|(~b&c&d&(e|(1))))|(a|(~b&c&d&(e|(1))&f))))&(~(g&~g))),a|~b&c&d,29
~((~((a|(b&~c&~d)|e)&(a|(b&~c&~d)|~e)&(f|(1))))|(~(g|~g))),a|b&~c&~d,30
~((((~(~a&~b))&(~(~c&d&(e|(1)))))&(~(f&(0))))&(~(g&(0)))),~a&~b|~c&d,25
~((~(((~a|~b|c|~d)|(~a|~b|c|(~d&e))|f)&((~a|~b|c|~d)|(~a|~b|c|(~d&e))|~f)))&(~(g&~g))),~a|~b|c|~d,49
~((~(((~a|(b&~c)|d)|(~a|(b&~c)|(d&e)))|(f&~f)))|(~(g|~g))),~a|b&~c|d,31
~(((~(a|(b&c&d&e)))&(~(a|(b&c&d&~e))))&(~((f&(0))&(g|(1))))),a|b&c&d,27
~((~(((~a|~b|c|~d)&(e|~e)&f)|(((~a|~b|c|~d)&(e|~e)&~f)&g)))&(~(((~a|~b|c|~d)&(e|~e)&f)|(((~a|~b|c|~d)&(e|~e)&~f)&~g)))),~a|~b|c|~d,68
~((~(a|(b&~c)|(~d&(e|(1))&(f|(1)))|g))|(~(a|(b&~c)|(~d&(e|(1))&(f|(1)))|~g))),a|b&~c|~d,36
~((~(a|b|~c|(~d&(e|(1))&(f|(1)))))|(~(g|~g))),a|b|~c|~d,21
~((~((~a|(~b&c&d&(e|(1))))&(~a|(~b&c&d&(e|(1)))|f)))&(~(g&(0)))),~a|~b&c&d,30
~((~((((~a&b)|(~c&d&e))|((~a&b)|(~c&d&~e)))|((((~a&b)|(~c&d&e))|(((~a&b)|(~c&d&~e))&f))&g)))&(~((((~a&b)|(~c&d&e))|((~a&b)|(~c&d&~e)))|((((~a&b)|(~c&d&e))|(((~a&b)|(~c&d&~e))&f))&~g)))),~a&b|~c&d,102
~((~((((~a&b)|(c&~d)|e)&((~a&b)|(c&~d)|~e))&(f|~f)))&(~(g&~g))),~a&b|c&~d,34
~((~((((~a&b)|(c&d))&(e|~e)&f)|(((~a&b)|(c&d))&(e|~e)&~f)))|(~(g|~g))),~a&b|c&d,37
~(((~(~a|(b&c&d&(e|(1)))|f))|(~(~a|(b&c&d&(e|(1)))|~f)))|(~(g|(1)))),~a|b&c&d,31
((~((((~(~a|b|~c|d|(e&(0))))|(~(~a|b|~c|d|(e&(0))|f)))&(1))|(~(g|(1)))))&(1))&((~((((~(~a|b|~c|d|(e&(0))))|(~(~a|b|~c|d|(e&(0))|f)))&(1))|(~(g|(1)))))&(1)),~a|b|~c|d,68
~((~((a|(~b&~c&d&e))|(a|(~b&~c&d&~e))))&(~(((a|(~b&~c&d&e))|((a|(~b&~c&d&~e))&f))&(g|(1))))),a|~b&~c&d,49
~((~((a|(~b&~c&d)|(e&(0)))|(f&~f)|g))|(~((a|(~b&~c&d)|(e&(0)))|(f&~f)|~g))),a|~b&~c&d,38
~((~((((~a&~b)|~c|d)|(e&~e))&(((~a&~b)|~c|d)|(e&~e)|f)))&(~(g&~g))),~a&~b|~c|d,37
~(((~(~a|~b|(~c&d&(e|(1)))))&(~(~a|~b|(~c&d&(e|(1))&f))))&(~(g&(0)))),~a|~b|~c&d,33
~((~((((a&b&~c)|d)|((a&b&~c)|(d&e)))&(f|~f)))|(~(((((a&b&~c)|d)|((a&b&~c)|(d&e)))&(f|~f))|g))),a&b&~c|d,49
~((~((((a|(b&~c)|d)&(a|(b&~c)|d|e))|f)&(((a|(b&~c)|d)&(a|(b&~c)|d|e))|~f)))|(~(g|~g))),a|b&~c|d,45
~((~(((a|~b|(~c&d))&(a|~b|(~c&d)|e)&f)|((a|~b|(~c&d))&(a|~b|(~c&d)|e)&~f)))&(~(((a|~b|(~c&d))&(a|~b|(~c&d)|e)&f)|(((a|~b|(~c&d))&(a|~b|(~c&d)|e)&~f)&g)))),a|~b|~c&d,85
~(((~(((a&b)|c|d|e)&((a&b)|c|d|~e)))|(~((((a&b)|c|d|e)&((a&b)|c|d|~e))|f)))|(~(g|(1)))),a&b|c|d,42
~((~(((a&b&~c)|~d)&((a&b&~c)|~d|e)&(f|(1))))|(~((((a&b&~c)|~d)&((a&b&~c)|~d|e)&(f|(1)))|g))),a&b&~c|~d,47
